CODIGO_PAIS_ESOCIAL,  NACIONALIDADE,    CODIGO_PAIS_QUESTOR
             13,              241,              132
             756,             173,              7560
             17,              93,              175
             23,              30,              230
             37,              94,              370
             40,              175,              400
             43,              28,              434
             47,              29,              477
             53,              242,              531
             59,              176,              590
             63,              21,              639
             64,              347,              647
             65,              33,              655
             69,              288,              698
             72,              95,              728
             73,              138,              736
             77,              40,              779
             80,              243,              809
             81,              342,              817
             83,              44,              833
             85,              140,              850
             87,              31,              876
             88,              46,              884
             229,              178,              2291
             90,              83,              906
             101,              179,              1015
             105,              10,              1058
             108,              245,              1082
             111,              96,              1112
             31,              238,              310
             115,              180,              1155
             119,              141,              1198
             127,              70,              1279
             145,              181,              1457
             141,              261,              1414
             149,              34,              1490
             151,              109,              1511
             154,              247,              1546
             153,              143,              1538
             788,              183,              7889
             158,              23,              1589
             160,              42,              1600
             163,              97,              1635
             741,              275,              7412
             165,              328,              1651
             169,              26,              1694
             173,              184,              1732
             177,              185,              1775
             193,              186,              1937
             196,              51,              1961
             198,              250,              1988
             199,              52,              1996
             232,              98,              2321
             783,              188,              7838
             235,              55,              2356
             240,              189,              2402
             687,              56,              6874
             244,              251,              2445
             239,              27,              2399
             247,              136,              2470
             246,              132,              2461
             245,              35,              2453
             249,              36,              2496
             251,              147,              2518
             253,              190,              2534
             259,              101,              2593
             870,              291,              8702
             267,              252,              2674
             271,              102,              2712
             275,              37,              2755
             281,              191,              2810
             285,              192,              2852
             289,              193,              2895
             291,              148,              2917
             293,              103,              2933
             297,              59,              2976
             301,              104,              3018
             305,              84,              3050
             309,              60,              3093
             313,              292,              3131
             317,              61,              3174
             337,              88,              3379
             337,              87,              3255
             329,              195,              3298
             334,              344,              3344
             331,              196,              3310
             341,              62,              3417
             345,              64,              3450
             351,              253,              3514
             355,              106,              3557
             357,              254,              3573
             361,              255,              3611
             365,              256,              3654
             372,              257,              3727
             369,              258,              3697
             375,              112,              3751
             379,              111,              3794
             383,              113,              3832
             386,              39,              3867
             391,              66,              3913
             399,              41,              3999
             396,              300,              3964
             403,              260,              4030
             411,              298,              4111
             420,              263,              4200
             426,              200,              4260
             427,              155,              4278
             431,              264,              4316
             434,              201,              4340
             438,              202,              4383
             440,              115,              4405
             442,              156,              4421
             445,              116,              4456
             447,              265,              4472
             449,              133,              4499
             450,              205,              4502
             455,              266,              4553
             461,              267,              4618
             464,              206,              4642
             467,              120,              4677
             359,              117,              3595
             472,              303,              4723
             474,              207,              4740
             476,              304,              4766
             477,              68,              4774
             485,              208,              4855
             488,              209,              4880
             493,              85,              4936
             490,              286,              4901
             505,              210,              5053
             495,              118,              4952
             497,              269,              4979
             498,              137,              4985
             507,              240,              5070
             508,              314,              5088
             517,              270,              5177
             521,              71,              5215
             525,              211,              5258
             528,              71,              5282
             535,              306,              5355
             538,              212,              5380
             542,              307,              5428
             548,              338,              5487
             556,              317,              5568
             575,              296,              5754
             580,              122,              5800
             545,              272,              5452
             576,              73,              5762
             586,              24,              5860
             589,              273,              5894
             593,              24,              5932
             599,              320,              5991
             603,              89,              6033
             611,              321,              6114
             607,              322,              6076
             623,              123,              6238
             640,              70,              6408
             660,              48,              6602
             670,              50,              6700
             675,              124,              6750
             676,              340,              6769
             685,              221,              6858
             678,              348,              6781
             677,              222,              6777
             690,              325,              6904
             691,              324,              6912
             710,              223,              7102
             715,              77,              7153
             695,              78,              6955
             700,              86,              7005
             705,              79,              7056
             728,              349,              7285
             735,              226,              7358
             737,              131,              7370
             731,              225,              7315
             744,              277,              7447
             748,              227,              7480
             750,              278,              7501
             754,              228,              7544
             759,              229,              7595
             764,              126,              7641
             767,              38,              7676
             770,              90,              7706
             772,              161,              7722
             776,              279,              7765
             780,              350,              7803
             791,              128,              7919
             782,              231,              7820
             795,              329,              7951
             800,              233,              8001
             810,              330,              8109
             805,              310,              8052
             815,              91,              8150
             820,              234,              8206
             823,              80,              8230
             824,              163,              8249
             827,              281,              8273
             828,              331,              8281
             831,              165,              8311
             833,              235,              8338
             845,              25,              8451
             847,              168,              8478
             551,              318,              5517
             848,              129,              8486
             850,              92,              8508
             858,              283,              8583
             866,              82,              8664
             873,              311,              8737
             890,              237,              8907
             665,              239,              6653
             200,              53,              8912
             343,              305,              8914
             755,              127,              8919
             781,              341,              8921
             895,              73,              8922
                    
